frame_idx,centroid_x,centroid_y,visible
0,,,0
1,,,0
2,,,0
3,,,0
4,,,0
5,,,0
6,,,0
7,,,0
8,,,0
9,1130,218,1
10,1130,218,1
11,1131,218,1
12,,,0
13,,,0
14,,,0
15,,,0
16,,,0
17,,,0
18,1130,218,1
19,1130,218,1
20,1130,218,1
21,,,0
22,,,0
23,,,0
24,,,0
25,,,0
26,,,0
27,,,0
28,,,0
29,,,0
30,,,0
31,,,0
32,,,0
33,1130,218,1
34,1130,218,1
35,1131,218,1
36,1131,217,1
37,1131,218,1
38,1131,217,1
39,1130,218,1
40,1130,218,1
41,1130,218,1
42,1130,218,1
43,1130,218,1
44,1086,627,1
45,1086,628,1
46,1086,628,1
47,1086,628,1
48,1130,218,1
49,1130,218,1
50,1131,218,1
51,1131,218,1
52,1131,218,1
53,1131,218,1
54,1131,218,1
55,1131,218,1
56,1105,374,1
57,1105,374,1
58,1105,374,1
59,1105,374,1
60,1111,368,1
61,1111,368,1
62,1117,365,1
63,1117,365,1
64,1120,366,1
65,1120,366,1
66,1131,218,1
67,1131,218,1
68,1131,218,1
69,1131,218,1
70,1131,218,1
71,1131,218,1
72,1131,218,1
73,1130,218,1
74,1130,218,1
75,1130,218,1
76,1130,218,1
77,1130,218,1
78,1130,218,1
79,1130,218,1
80,1130,218,1
81,1130,218,1
82,1130,218,1
83,1130,218,1
84,1130,218,1
85,1131,218,1
86,1131,218,1
87,1130,218,1
88,1130,218,1
89,1130,218,1
90,1130,218,1
91,1130,218,1
92,1130,218,1
93,1130,218,1
94,1130,218,1
95,1131,218,1
96,1131,217,1
97,1131,218,1
98,1131,218,1
99,1131,218,1
100,1131,218,1
101,1131,218,1
102,1131,218,1
103,1131,218,1
104,1131,218,1
105,1131,218,1
106,1131,218,1
107,1131,218,1
108,1131,217,1
109,1131,217,1
110,1131,217,1
111,1131,217,1
112,1131,217,1
113,1131,217,1
114,1131,217,1
115,1131,217,1
116,1131,217,1
117,1131,217,1
118,1131,217,1
119,1131,217,1
120,826,476,1
121,773,478,1
122,719,483,1
123,666,492,1
124,666,492,1
125,666,492,1
126,612,505,1
127,559,521,1
128,559,521,1
129,,,0
130,1131,218,1
131,,,0
132,,,0
133,,,0
134,,,0
135,,,0
136,,,0
137,,,0
138,,,0
139,,,0
140,,,0
141,,,0
142,,,0
143,,,0
144,,,0
145,,,0
146,,,0
147,,,0
148,,,0
149,,,0
150,,,0
151,,,0
152,,,0
153,,,0
154,,,0
155,,,0
156,,,0
157,,,0
158,,,0
159,,,0
160,,,0
161,,,0
162,,,0
163,,,0
164,,,0
165,,,0
166,,,0
167,,,0
168,,,0
169,,,0
170,,,0
171,,,0
172,,,0
173,,,0
174,,,0
175,,,0
176,,,0
177,,,0
178,,,0
179,,,0
180,,,0
181,,,0
182,,,0
183,,,0
184,,,0
185,,,0
186,,,0
187,,,0
188,,,0
189,,,0
190,,,0
191,,,0
192,,,0
193,,,0
194,,,0
195,,,0
